word,translation,example,level
die Bildung,образование,Gute Bildung ist wichtig für die persönliche Entwicklung.,B1
sich verlieben,влюбиться,"Er hat sich sofort in sie verliebt, als er sie zum ersten Mal gesehen hat.",B1
das Verständnis,понимание,Ein gutes Verständnis der Materie ist für die Prüfung wichtig.,B1
die Krise,кризис,Die Wirtschaftskrise hat viele Menschen arbeitslos gemacht.,B1
akzeptieren,"принимать, соглашаться","Man muss die Realität so akzeptieren, wie sie ist.",B1
üben,"практиковать, упражняться","Um die deutsche Sprache fließend zu sprechen, muss man regelmäßig üben.",A2
erkältet,простуженный,Er ist erkältet und muss zu Hause bleiben.,A2
das Gefühl,"чувство, ощущение",Nach dem Erfolg hatte ich ein wunderbares Gefühl der Zufriedenheit.,A2
das Taschengeld,карманные деньги,Die Kinder sparen ihr Taschengeld für ein neues Spielzeug.,A1
die Gymnastik,гимнастика,"Morgens mache ich immer ein paar Übungen zur Gymnastik, um fit zu bleiben.",A2
noch,еще,"Es ist noch viel zu tun, bevor wir fertig sind.",A1
gebrauchen,использовать,"Ich kann dieses Werkzeug gut gebrauchen, um die Möbel zu reparieren.",B1
die Liste,список,Bitte schreiben Sie alle benötigten Artikel auf eine Einkaufsliste.,A1
klären,прояснять,Wir müssen diese Angelegenheit so schnell wie möglich klären.,B1
die Empfehlung,рекомендация,Ich habe dieses Restaurant auf Empfehlung eines Freundes besucht.,B1
die Garderobe,"гардероб, вешалка для одежды",Bitte hängen Sie Ihre Jacken in der Garderobe auf.,A2
die Verantwortung,ответственность,Mit dieser neuen Aufgabe übernimmt sie mehr Verantwortung.,B1
das Gold,золото,Der Ring ist aus purem Gold gefertigt.,A2
die Ausbildung,"обучение, подготовка",Eine gute Ausbildung ist wichtig für die berufliche Zukunft.,A2
das Meer,море,Wir verbringen unseren Urlaub gerne am Meer.,A1
bestimmt,"определенный, несомненно",Das ist bestimmt die beste Lösung für unser Problem.,A2
die Absicht,"намерение, замысел","Er hat die Absicht, nächstes Jahr eine Weltreise zu machen.",B1
die Papiere,документы,Bitte legen Sie alle notwendigen Papiere vor.,A2
die Frage,вопрос,Ich habe eine wichtige Frage zu diesem Thema.,A1
die Insel,остров,Die kleine Insel ist ein beliebtes Urlaubsziel für Naturliebhaber.,A1
entlang,вдоль,Wir spazierten den Fluss entlang und genossen die Natur.,A2
die Nudel,"макаронина, лапша",Zum Abendessen gibt es heute Nudeln mit Tomatensoße.,A1
vorgestern,позавчера,Vorgestern war ich im Kino.,A1
die Veranstaltung,"мероприятие, событие",Die jährliche Veranstaltung zieht viele Besucher an.,A2
gefährlich,опасный,Das Fahren bei diesem Wetter ist sehr gefährlich.,A2
erfolgreich,успешный,Nach vielen Jahren harter Arbeit war sie endlich erfolgreich.,B1
drucken,печатать,"Ich muss noch einige Dokumente ausdrucken, bevor ich sie abschicken kann.",A2
dürfen,"мочь, иметь разрешение","In diesem Bereich dürfen Sie nicht parken, da es sich um eine Feuerwehrausfahrt handelt.",A1
die Eröffnung,открытие,Die Eröffnung des Museums zog viele Besucher an.,B1
die Rentnerin,пенсионерка,Die Rentnerin verbringt ihre freie Zeit gerne mit Gartenarbeit und Lesen.,A2
der Club,клуб,Am Wochenende gehen wir oft in einen neuen Club in der Innenstadt.,A2
ausschalten,выключать,"Bitte schalte das Licht aus, wenn du das Zimmer verlässt.",A2
das Haupt,голова,Er rieb sich müde das Haupt nach der langen Besprechung.,B2
die Studentin,студентка,Die Studentin lernt sehr fleißig für ihre Prüfungen.,A1
die Meinung,мнение,Ich teile deine Meinung zu diesem Thema nicht.,A2
die Wolke,облако,Am Himmel ziehen weiße Wolken vorbei.,A1
der Bürgermeister,мэр,Der Bürgermeister hat eine Rede zur Eröffnung des neuen Parks gehalten.,A2
um,"вокруг, около, чтобы",Wir sitzen um den Tisch und reden.,A1
faul,"ленивый, гнилой","Er ist zu faul, um seine Hausaufgaben zu machen.",A2
abhängig,зависимый,Die Wirtschaft des Landes ist stark von den Rohstoffpreisen abhängig.,B1
zustimmen,соглашаться,"Ich stimme Ihrer Meinung zu, dass wir mehr Zeit für dieses Projekt benötigen.",B1
erleben,"переживать, испытывать","Diese Reise war ein unvergessliches Erlebnis, das ich nie vergessen werde.",A2
später,позже,"Wir können das später besprechen, wenn wir mehr Zeit haben.",A1
bedeutend,значительный,Die Entdeckung dieser neuen Technologie hat eine bedeutende Auswirkung auf die Zukunft.,B2
meinen,считать,"Ich meine, dass das eine gute Idee ist.",A2
blond,блондин(ка),"Sie hat lange, blonde Haare und blaue Augen.",A1
die Anlage,"приложение, установка, объект",Im Anhang finden Sie die gewünschte Anlage.,B1
die Art,"вид, род, способ",Diese Art von Musik gefällt mir sehr gut.,A2
die Wahrheit,правда,"Es ist wichtig, immer die Wahrheit zu sagen.",B1
die Halle,"зал, холл, ангар",Die Sportler trafen sich in der großen Sporthalle.,B1
die Produktion,производство,"Die Firma hat ihre Produktion in den letzten Jahren erheblich gesteigert, um der wachsenden Nachfrage gerecht zu werden.",B1
einfallen,приходить в голову,"Mir ist gerade eine tolle Idee eingefallen, wie wir das Problem lösen können.",B1
der Kindergarten,детский сад,Mein Sohn geht seit letztem Jahr in den Kindergarten.,A1
der Sommer,лето,"Im Sommer fahren wir gerne ans Meer, um zu baden.",A1
die Feier,празднование,Die Feier zum Geburtstag meiner Großmutter war sehr schön.,A2
die Wäsche,белье,Ich muss noch die schmutzige Wäsche in die Waschmaschine stecken.,A1
das Formular,бланк,Bitte füllen Sie dieses Formular vollständig aus.,A2
der Workshop,"семинар, мастер-класс",Wir nehmen an einem interessanten Workshop über digitale Fotografie teil.,B1
beinahe,почти,Ich hätte beinahe den Zug verpasst.,A2
der Tag,день,"Heute ist ein wunderschöner Tag, lass uns spazieren gehen.",A1
der Abfalleimer,мусорное ведро,Bitte werfen Sie Ihren Müll in den Abfalleimer.,A2
der Regen,дождь,Der starke Regen hat die Straßen überschwemmt und den Verkehr behindert.,A1
das Gasthaus,"гостиница, трактир","Das Gasthaus bietet einfache, aber saubere Zimmer für Reisende.",A2
der Bart,борода,Der Weihnachtsmann ist bekannt für seinen langen weißen Bart.,A1
die Sprechstunde,"приёмные часы (врача, учителя)","Der Arzt hat heute Nachmittag Sprechstunde, falls Sie Fragen haben.",A2
die Folge,последствие,Die Folgen des Klimawandels sind bereits spürbar.,B1
ein bisschen,немного,Ich verstehe nur ein bisschen Deutsch.,A1
der Dreck,грязь,Nach dem Spielen im Garten war das Kind voller Dreck.,A2
die Personalien,личные данные,Bitte füllen Sie alle Personalien sorgfältig aus.,A1
feucht,влажный,Die Wäsche ist noch feucht und muss weiter trocknen.,A2
der Stuhl,стул,"Bitte setz dich auf diesen Stuhl, er ist frei.",A1
mit,с,Ich gehe heute Abend mit meinen Freunden ins Kino.,A1
die Landschaft,пейзаж,Die malerische Landschaft mit den Bergen und Seen zog viele Touristen an.,A2
lächeln,улыбаться,"Sie begann zu lächeln, als sie ihn sah.",A1
mündlich,устный,Die Prüfung wird mündlich abgehalten.,B1
die Entlassung,увольнение,Die Entlassung aus dem Krankenhaus erfolgte nach einer Woche Genesung.,B2
nachdem,после того как,"Nachdem er die Arbeit beendet hatte, ging er nach Hause.",B1
feiern,праздновать,Wir werden seinen Geburtstag groß feiern.,A1
insgesamt,в целом,Insgesamt war die Reise sehr erfolgreich und wir sind zufrieden.,B1
der Ehemann,муж,Ihr Ehemann ist Arzt von Beruf.,A1
mehr,больше,Ich möchte gerne mehr über dieses Thema erfahren.,A1
der Umzug,переезд,"Der Umzug in die neue Wohnung war anstrengend, aber wir sind glücklich.",A2
unterschiedlich,различный,Die Meinungen der Leute sind oft sehr unterschiedlich.,B1
der Pfleger,"опекун, сиделка",Der Pfleger kümmerte sich liebevoll um den alten Mann.,B1
die Uhr,часы,"Ich muss auf die Uhr schauen, um sicherzustellen, dass ich pünktlich zu meinem Termin komme.",A1
der Gegenstand,предмет,Dieser alte Gegenstand hat eine besondere historische Bedeutung.,B1
die Leiter,лестница,"Er kletterte die Leiter hinauf, um das Dach zu erreichen.",A2
brennen,гореть,Das Feuer im Kamin brennt schön warm.,A2
die Arztpraxis,"врачебный кабинет, поликлиника",Ich habe einen Termin in der Arztpraxis um zehn Uhr.,A2
nochmals,еще раз,Könnten Sie das bitte nochmals wiederholen?,A2
einsam,одинокий,Nach dem Umzug fühlte er sich oft einsam und vermisste seine Freunde.,B1
einrichten,обставлять (мебелью),Wir möchten unsere neue Wohnung möglichst schnell und stilvoll einrichten.,A2
kreativ,креативный,Sie hat eine sehr kreative Lösung für das Problem gefunden.,B1
hängen,висеть,Das Bild hängt schief an der Wand.,A2
verlieren,терять,Ich habe meinen Schlüssel verloren und muss jetzt einen neuen kaufen.,A2
die Bar,бар,"Am Abend treffen wir uns in der neuen Bar in der Innenstadt, um etwas zu trinken.",A2
scharf,острый,Dieses Messer ist sehr scharf.,A2
der Kalender,календарь,"Ich habe alle wichtigen Termine in meinen Kalender eingetragen, um nichts zu vergessen.",A1
der Musiker,музыкант,Der talentierte Musiker spielte ein wunderschönes Stück auf dem Klavier.,A1
die Figur,фигура,Die Tänzerin hatte eine sehr schlanke und anmutige Figur.,A2
die Kommunikation,коммуникация,Eine klare und offene Kommunikation ist entscheidend für eine gute Zusammenarbeit.,B1
besetzen,занимать,"Die Armee versuchte, die strategisch wichtige Stadt zu besetzen.",B1
die Aufmerksamkeit,внимание,Bitte schenken Sie dem Lehrer Ihre volle Aufmerksamkeit.,B1
das T-shirt,футболка,Ich trage gerne ein einfaches weißes T-Shirt im Sommer.,A1
perfekt,идеальный,Das Wetter für unser Picknick ist perfekt.,B1
der Nachwuchs,"потомство, молодёжь",Der Verein legt großen Wert auf die Förderung des Nachwuchses im Sport.,B2
sonnig,солнечный,"Heute ist ein schöner, sonniger Tag.",A2
achten,"обращать внимание, следить",Bitte achten Sie auf Ihre Gesundheit und ernähren Sie sich ausgewogen.,A2
entweder,либо,Du kannst entweder zu Hause bleiben oder mit uns ins Kino gehen.,A2
der Strand,пляж,Im Sommer verbringen wir gerne Zeit am Strand.,A1
musikalisch,музыкальный,Sie ist sehr musikalisch und spielt mehrere Instrumente.,B1
längst,давно,"Das wusste ich längst, aber ich wollte es dir selbst erzählen.",B1
abschließen,"завершить, закрыть (на замок)","Wir müssen das Projekt bis Ende des Monats abschließen, sonst gibt es Probleme.",A2
der Fehler,ошибка,Bei der Berechnung ist mir ein kleiner Fehler unterlaufen.,A2
erheblich,значительно,Die Kosten für das Projekt sind erheblich gestiegen.,B2
erstaunlich,удивительный,Die Aussicht vom Berggipfel ist wirklich erstaunlich.,B1
nützlich,полезный,Diese App ist sehr nützlich für das Sprachenlernen.,A2
der Besitzer,владелец,Der Besitzer des Restaurants hat uns sehr freundlich empfangen.,A2
die Krankenkasse,медицинская страховая компания,Man muss sich bei einer Krankenkasse versichern.,A2
markieren,отмечать,Bitte markieren Sie die richtige Antwort auf dem Blatt.,A2
arbeitslos,безработный,Er ist seit sechs Monaten arbeitslos und sucht verzweifelt nach einer neuen Stelle.,A2
der Apparat,"аппарат, устройство",Der alte Fernseher ist ein komplizierter Apparat.,B1
die Stadt,город,Berlin ist eine pulsierende Stadt mit viel Kultur und Geschichte.,A1
das Tier,животное,Im Zoo kann man viele verschiedene Tiere aus aller Welt beobachten.,A1
der Schirm,зонт,Bei diesem Regen solltest du unbedingt einen Schirm mitnehmen.,A2
die S-bahn,городская электричка,"Die S-Bahn ist eine schnelle Möglichkeit, durch die Stadt zu fahren.",A2
der Chip,чип,Der neue Computer hat einen sehr schnellen Prozessor-Chip.,B1
grillen,жарить на гриле,Am Wochenende wollen wir mit Freunden im Garten grillen.,A2
locker,"свободный, расслабленный","Er trug eine lockere Kleidung, die bequem war.",B1
online,онлайн,Ich kaufe meine Bücher meistens online.,A2
untersuchen,исследовать,Die Polizei wird den Fall gründlich untersuchen.,B1
mager,"худой, тощий",Nach der langen Krankheit war er sehr mager geworden.,B1
besitzen,владеть,Sie besitzt ein kleines Café in der Innenstadt.,B1
die Lieferung,доставка,Die Lieferung der bestellten Ware erfolgte schneller als erwartet.,A2
endgültig,"окончательный, окончательно",Die Entscheidung ist endgültig und kann nicht mehr geändert werden.,B2
das Papier,бумага,"Ich brauche ein neues Blatt Papier, um diesen Brief zu schreiben.",A1
die Mühe,"усилие, труд","Es hat sich gelohnt, sich diese Mühe zu machen, um das Projekt erfolgreich abzuschließen.",A2
der Dank,благодарность,Ich möchte Ihnen meinen aufrichtigen Dank aussprechen.,A1
schneien,идти (о снеге),Es schneit heute zum ersten Mal in diesem Winter.,A1
dauernd,постоянно,Er beschwert sich dauernd über das Wetter.,B1
das Abgas,выхлопной газ,Moderne Autos produzieren weniger schädliche Abgase.,B1
egal,"всё равно, безразлично","Ob wir jetzt gehen oder später, ist mir eigentlich egal.",A2
die Freizeit,досуг,In meiner Freizeit lese ich gerne Bücher oder treffe mich mit Freunden.,A1
die Karriere,карьера,Sie hat eine erfolgreiche Karriere als Ärztin gemacht.,B1
die Medien,"средства массовой информации, медиа",Die Medien spielen eine wichtige Rolle in der heutigen Gesellschaft.,B1
das Klavier,пианино,Sie spielt seit vielen Jahren Klavier und beherrscht es perfekt.,A1
erlaubt,разрешённый,Das Rauchen ist in diesem Gebäude nicht erlaubt.,A2
